filename,filepath,station_type,station_name,start_date,end_date,file_size
INMET_S_RS_A801_PORTO ALEGRE - JARDIM BOTANICO_01-01-2022_A_31-12-2022.CSV,data/raw/dados_historicos/INMET_S_RS_A801_PORTO ALEGRE - JARDIM BOTANICO_01-01-2022_A_31-12-2022.CSV,A801_NEW,PORTO ALEGRE - JARDIM BOTANICO,2022-01-01,2022-12-31,816.1142578125
INMET_S_RS_A801_PORTO ALEGRE - JARDIM BOTANICO_01-01-2023_A_31-12-2023.CSV,data/raw/dados_historicos/INMET_S_RS_A801_PORTO ALEGRE - JARDIM BOTANICO_01-01-2023_A_31-12-2023.CSV,A801_NEW,PORTO ALEGRE - JARDIM BOTANICO,2023-01-01,2023-12-31,812.455078125
INMET_S_RS_A801_PORTO ALEGRE - JARDIM BOTANICO_01-01-2024_A_31-12-2024.CSV,data/raw/dados_historicos/INMET_S_RS_A801_PORTO ALEGRE - JARDIM BOTANICO_01-01-2024_A_31-12-2024.CSV,A801_NEW,PORTO ALEGRE - JARDIM BOTANICO,2024-01-01,2024-12-31,819.265625
INMET_S_RS_A801_PORTO ALEGRE - JARDIM BOTANICO_01-01-2025_A_30-04-2025.CSV,data/raw/dados_historicos/INMET_S_RS_A801_PORTO ALEGRE - JARDIM BOTANICO_01-01-2025_A_30-04-2025.CSV,A801_NEW,PORTO ALEGRE - JARDIM BOTANICO,2025-01-01,2025-04-30,267.302734375
INMET_S_RS_A801_PORTO ALEGRE_01-01-2001_A_31-12-2001.CSV,data/raw/dados_historicos/INMET_S_RS_A801_PORTO ALEGRE_01-01-2001_A_31-12-2001.CSV,A801_OLD,PORTO ALEGRE,2001-01-01,2001-12-31,833.95703125
INMET_S_RS_A801_PORTO ALEGRE_01-01-2002_A_31-12-2002.CSV,data/raw/dados_historicos/INMET_S_RS_A801_PORTO ALEGRE_01-01-2002_A_31-12-2002.CSV,A801_OLD,PORTO ALEGRE,2002-01-01,2002-12-31,833.53515625
INMET_S_RS_A801_PORTO ALEGRE_01-01-2003_A_31-12-2003.CSV,data/raw/dados_historicos/INMET_S_RS_A801_PORTO ALEGRE_01-01-2003_A_31-12-2003.CSV,A801_OLD,PORTO ALEGRE,2003-01-01,2003-12-31,836.21484375
INMET_S_RS_A801_PORTO ALEGRE_01-01-2004_A_31-12-2004.CSV,data/raw/dados_historicos/INMET_S_RS_A801_PORTO ALEGRE_01-01-2004_A_31-12-2004.CSV,A801_OLD,PORTO ALEGRE,2004-01-01,2004-12-31,827.7509765625
INMET_S_RS_A801_PORTO ALEGRE_01-01-2005_A_31-12-2005.CSV,data/raw/dados_historicos/INMET_S_RS_A801_PORTO ALEGRE_01-01-2005_A_31-12-2005.CSV,A801_OLD,PORTO ALEGRE,2005-01-01,2005-12-31,821.2900390625
INMET_S_RS_A801_PORTO ALEGRE_01-01-2006_A_31-12-2006.CSV,data/raw/dados_historicos/INMET_S_RS_A801_PORTO ALEGRE_01-01-2006_A_31-12-2006.CSV,A801_OLD,PORTO ALEGRE,2006-01-01,2006-12-31,817.0546875
INMET_S_RS_A801_PORTO ALEGRE_01-01-2007_A_31-12-2007.CSV,data/raw/dados_historicos/INMET_S_RS_A801_PORTO ALEGRE_01-01-2007_A_31-12-2007.CSV,A801_OLD,PORTO ALEGRE,2007-01-01,2007-12-31,805.208984375
INMET_S_RS_A801_PORTO ALEGRE_01-01-2008_A_31-12-2008.CSV,data/raw/dados_historicos/INMET_S_RS_A801_PORTO ALEGRE_01-01-2008_A_31-12-2008.CSV,A801_OLD,PORTO ALEGRE,2008-01-01,2008-12-31,817.1494140625
INMET_S_RS_A801_PORTO ALEGRE_01-01-2009_A_31-12-2009.CSV,data/raw/dados_historicos/INMET_S_RS_A801_PORTO ALEGRE_01-01-2009_A_31-12-2009.CSV,A801_OLD,PORTO ALEGRE,2009-01-01,2009-12-31,810.416015625
INMET_S_RS_A801_PORTO ALEGRE_01-01-2010_A_31-12-2010.CSV,data/raw/dados_historicos/INMET_S_RS_A801_PORTO ALEGRE_01-01-2010_A_31-12-2010.CSV,A801_OLD,PORTO ALEGRE,2010-01-01,2010-12-31,810.7509765625
INMET_S_RS_A801_PORTO ALEGRE_01-01-2011_A_31-12-2011.CSV,data/raw/dados_historicos/INMET_S_RS_A801_PORTO ALEGRE_01-01-2011_A_31-12-2011.CSV,A801_OLD,PORTO ALEGRE,2011-01-01,2011-12-31,810.4375
INMET_S_RS_A801_PORTO ALEGRE_01-01-2012_A_31-12-2012.CSV,data/raw/dados_historicos/INMET_S_RS_A801_PORTO ALEGRE_01-01-2012_A_31-12-2012.CSV,A801_OLD,PORTO ALEGRE,2012-01-01,2012-12-31,812.52734375
INMET_S_RS_A801_PORTO ALEGRE_01-01-2013_A_31-12-2013.CSV,data/raw/dados_historicos/INMET_S_RS_A801_PORTO ALEGRE_01-01-2013_A_31-12-2013.CSV,A801_OLD,PORTO ALEGRE,2013-01-01,2013-12-31,813.3212890625
INMET_S_RS_A801_PORTO ALEGRE_01-01-2014_A_31-12-2014.CSV,data/raw/dados_historicos/INMET_S_RS_A801_PORTO ALEGRE_01-01-2014_A_31-12-2014.CSV,A801_OLD,PORTO ALEGRE,2014-01-01,2014-12-31,812.0029296875
INMET_S_RS_A801_PORTO ALEGRE_01-01-2015_A_31-12-2015.CSV,data/raw/dados_historicos/INMET_S_RS_A801_PORTO ALEGRE_01-01-2015_A_31-12-2015.CSV,A801_OLD,PORTO ALEGRE,2015-01-01,2015-12-31,813.798828125
INMET_S_RS_A801_PORTO ALEGRE_01-01-2016_A_31-12-2016.CSV,data/raw/dados_historicos/INMET_S_RS_A801_PORTO ALEGRE_01-01-2016_A_31-12-2016.CSV,A801_OLD,PORTO ALEGRE,2016-01-01,2016-12-31,815.92578125
INMET_S_RS_A801_PORTO ALEGRE_01-01-2017_A_31-12-2017.CSV,data/raw/dados_historicos/INMET_S_RS_A801_PORTO ALEGRE_01-01-2017_A_31-12-2017.CSV,A801_OLD,PORTO ALEGRE,2017-01-01,2017-12-31,818.3525390625
INMET_S_RS_A801_PORTO ALEGRE_01-01-2018_A_31-12-2018.CSV,data/raw/dados_historicos/INMET_S_RS_A801_PORTO ALEGRE_01-01-2018_A_31-12-2018.CSV,A801_OLD,PORTO ALEGRE,2018-01-01,2018-12-31,816.3681640625
INMET_S_RS_A801_PORTO ALEGRE_01-01-2019_A_31-12-2019.CSV,data/raw/dados_historicos/INMET_S_RS_A801_PORTO ALEGRE_01-01-2019_A_31-12-2019.CSV,A801_OLD,PORTO ALEGRE,2019-01-01,2019-12-31,817.9453125
INMET_S_RS_A801_PORTO ALEGRE_01-01-2020_A_31-12-2020.CSV,data/raw/dados_historicos/INMET_S_RS_A801_PORTO ALEGRE_01-01-2020_A_31-12-2020.CSV,A801_OLD,PORTO ALEGRE,2020-01-01,2020-12-31,819.85546875
INMET_S_RS_A801_PORTO ALEGRE_01-01-2021_A_31-12-2021.CSV,data/raw/dados_historicos/INMET_S_RS_A801_PORTO ALEGRE_01-01-2021_A_31-12-2021.CSV,A801_OLD,PORTO ALEGRE,2021-01-01,2021-12-31,812.97265625
INMET_S_RS_A801_PORTO ALEGRE_22-09-2000_A_31-12-2000.CSV,data/raw/dados_historicos/INMET_S_RS_A801_PORTO ALEGRE_22-09-2000_A_31-12-2000.CSV,A801_OLD,PORTO ALEGRE,2000-09-22,2000-12-31,224.5078125
INMET_S_RS_B807_PORTO ALEGRE- BELEM NOVO_01-01-2023_A_31-12-2023.CSV,data/raw/dados_historicos/INMET_S_RS_B807_PORTO ALEGRE- BELEM NOVO_01-01-2023_A_31-12-2023.CSV,B807,PORTO ALEGRE- BELEM NOVO,2023-01-01,2023-12-31,823.400390625
INMET_S_RS_B807_PORTO ALEGRE- BELEM NOVO_01-01-2024_A_31-12-2024.CSV,data/raw/dados_historicos/INMET_S_RS_B807_PORTO ALEGRE- BELEM NOVO_01-01-2024_A_31-12-2024.CSV,B807,PORTO ALEGRE- BELEM NOVO,2024-01-01,2024-12-31,826.2451171875
INMET_S_RS_B807_PORTO ALEGRE- BELEM NOVO_01-01-2025_A_30-04-2025.CSV,data/raw/dados_historicos/INMET_S_RS_B807_PORTO ALEGRE- BELEM NOVO_01-01-2025_A_30-04-2025.CSV,B807,PORTO ALEGRE- BELEM NOVO,2025-01-01,2025-04-30,269.1767578125
INMET_S_RS_B807_PORTO ALEGRE- BELEM NOVO_08-12-2022_A_31-12-2022.CSV,data/raw/dados_historicos/INMET_S_RS_B807_PORTO ALEGRE- BELEM NOVO_08-12-2022_A_31-12-2022.CSV,B807,PORTO ALEGRE- BELEM NOVO,2022-12-08,2022-12-31,54.240234375
